56;Depósito entre os Prédios 45 e 46;5;Depósito entre os Prédios 45 e 46;-19.92347;-43.99511;1;2015-01-01 00:00:00;false
57;Trailer de Lanches;5;Trailer de Lanches - Prédio 57;-19.923889;-43.994024;2;2015-01-01 00:00:00;false
58;Vestiário Feminino;5;Vestiário Feminino;-19.922899;-43.990285;1;2015-01-01 00:00:00;false
59;Vestiários Complexo Esportivo;5;Vestiários Masculino e Feminino - Complexo Esportivo;-19.9217;-43.990473;1;2015-01-01 00:00:00;false
60;SISTÊMICA;5;Instituto de Ciências Biológicas e da Saúde - ICBS Curso de Ciências Biológicas - SISTÊMICA;-19.92125;-43.992055;1;2015-01-01 00:00:00;false
61;ADPUC e PUC TV;5;"Associação dos Docentes da PUC Minas - ADPUC Atendimento";-19.922412;-43.994086;1;2015-01-01 00:00:00;false
63;Quadra Coberta;5;Quadra Coberta;-19.920809;-43.990557;1;2015-01-01 00:00:00;false
64;Vestiário da Piscina;5;Vestiário da Piscina;-19.922941;-43.990809;1;2015-01-01 00:00:00;false
65;Edifício Complexo Esportivo;5;Edifício Complexo Esportivo;-19.92236;-43.99108;1;2015-01-01 00:00:00;false
67;Anexo entre os Prédios 34 e 44;5;Anexo entre os Prédios 34 e 44;-19.922978;-43.994531;1;2015-01-01 00:00:00;false
69;Cobertura Carro PUC TV;5;Cobertura Carro PUC TV;-19.922311;-43.99414;1;2015-01-01 00:00:00;false
70;Sala de Manutenção Civil;5;Sala de Manutenção Civil;-19.920105;-43.993697;1;2015-01-01 00:00:00;false
73;Banco Santander;5;Banco Santander;-19.924138;-43.993986;3;2015-01-01 00:00:00;false
74;Guarita Pedestre Biblioteca;5;Guarita Pedestre Biblioteca;-19.9223351;-43.9933655;1;2015-01-01 00:00:00;false
75;Guarita Portaria 03;5;Guarita Portaria 03;-19.923762;-43.990816;4;2015-01-01 00:00:00;false
76;Guarita Portaria 05;5;Guarita Portaria 05;-19.925387;-43.992585;4;2015-01-01 00:00:00;false
78;Guarita Portaria 07;5;Guarita Portaria 07;-19.924999;-43.994711;4;2015-01-01 00:00:00;falseå
79;Guarita Portaria 08;5;Guarita Portaria 08;-19.924466;-43.995121;4;2015-01-01 00:00:00;false
GR;Guarita Portaria 10;5;Guarita Portaria 10;-19.921702;-43.99406;4;2015-01-01 00:00:00;false
81;Guarita Portaria 11;5;Guarita Portaria 11;-19.920459;-43.99403;4;2015-01-01 00:00:00;false
82;Guarita Pedestre Prédio 03;5;Guarita Pedestre Prédio 03;-19.924586;-43.993;1;2015-01-01 00:00:00;false
8;Posto Médico;5;Posto médico - Posto de Saúde;-19.922945;-43.9934;5;2015-01-01 00:00:00;false
B;Caixas Eletrônicos;5;Caixas Eletrônicos;-19.923059;-43.991631;3;2015-01-01 00:00:00;false
DG;Cantina Divin Gout;5;Cantina Divin Gout;-19.923358;-43.993784;2;2015-01-01 00:00:00;false
